A,B,C,D,E,F,G 
part,0.316,0.256,0.298,0.274,0.252,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225,Happiness
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225,Happiness
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225,Happiness
idea,0.612,0.264,0.266,0.264,0.242,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
watch,0.4,0.25,0.27599999999999997,0.284,0.258,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
pet,0.8320000000000001,0.272,0.33199999999999996,0.248,0.254,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
little messy happy,0.817,0.362,0.46299999999999997,0.48900000000000005,0.328,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
key more,0.422,0.266,0.244,0.25,0.22599999999999998,Happiness
pet,0.8320000000000001,0.272,0.33199999999999996,0.248,0.254,Happiness
pet,0.8320000000000001,0.272,0.33199999999999996,0.248,0.254,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
part not,0.316,0.256,0.298,0.274,0.252,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
phase,0.394,0.364,0.358,0.33599999999999997,0.31,Happiness
most most more,0,0,0,0,0,Happiness
table,0.306,0.22400000000000003,0.21800000000000003,0.22400000000000003,0.22200000000000003,Happiness
world,0.5860000000000001,0.32,0.366,0.352,0.308,Happiness
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225,Happiness
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225,Happiness
earth,0.724,0.33999999999999997,0.394,0.386,0.33799999999999997,Happiness
vision,0.616,0.272,0.262,0.294,0.23399999999999999,Happiness
confident,0.764,0.244,0.242,0.258,0.22400000000000003,Happiness
confident,0.764,0.244,0.242,0.258,0.22400000000000003,Happiness
confident,0.764,0.244,0.242,0.258,0.22400000000000003,Happiness
attract,0,0,0,0,0,Happiness
attract,0,0,0,0,0,Happiness
soft,0.742,0.22999999999999998,0.25,0.23399999999999999,0.21600000000000003,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
wonder,0.644,0.242,0.27599999999999997,0.32,0.238,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
nice field,0.667,0.233,0.242,0.24699999999999997,0.225,Happiness
wonder,0.644,0.242,0.27599999999999997,0.32,0.238,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
glass,0.378,0.272,0.282,0.368,0.23399999999999999,Happiness
glass,0.378,0.272,0.282,0.368,0.23399999999999999,Happiness
less not more,0,0,0,0,0,Happiness
game,0.706,0.378,0.318,0.294,0.24,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
game theory,0.508,0.32199999999999995,0.28500000000000003,0.285,0.24,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
theory,0.31,0.266,0.252,0.27599999999999997,0.24,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
part not,0.316,0.256,0.298,0.274,0.252,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
